,S.angustifolium,S.fallax,S.glomeratum,S.subglobosum,S.gramineum,S.x longifolium,S.emersum,S.rothertii,S.probatovae,S.hyperboreum,S.natans,S.erectum subsp.erectum,S.erectum subsp.microcarpum,S.erectum subsp.neglectum,S.stoloniferum subsp.choui
Emer-2-1,,,,,,,1,,,,,1,,,
Long-3,,,,,,,,1,1,,,,,,
Long-1,,,,,,1,1,1,1,,,,,,
Emer-2-2,,,,,,1,1,1,1,,,,,,
Ang-1,1,,,,,,,,,,,,,,
Emer-1-1,1,,,,,,1,1,1,,,,,,
Emer-1-2,,,,,,,1,1,,,,,,,
Long-2,,,,,,,1,1,1,,,,,,
Glom-1,,1,1,,,,,,,,,,,1,
Fal-1,,1,1,,,,,,,,,,,,
Gram-1,,,,,1,1,,,1,,,,,,
Gram-2,,,,,1,,,,1,,,,,,
Natan-3,,,,,,,,,,,1,,,,
Natan-4,,,,,,,,,,,1,,,,
Sub-1,,,,1,,,,,,,,,,,
Hyper-1,,,1,,,,,,,1,,,,,
Prob-1,,,,,,,,,1,,,,,,
Natan-2,,,,,,,,,,,1,,,,
Hyper-2,,,1,,,,,,,1,,,,,
Natan-1,,,,,,,,,,,1,,,,
Minim-S,,,1,,,,,,1,1,1,,,,
Stolo-1,,,,,,,,,,,,1,1,,1
Negle-3,,,,,,,,,,,,,,1,
Micro-2,,,,,,,,,,,,1,1,,1
Erect-3,,,,,,,,,,,,1,,,1
Negle-5,,,,,,,,,,,,,,1,
Stolo-2,,,,,,,,,,,,,,,1
Stolo-3,,,,,,,,,,,,1,1,,1
Negle-4,,,,,,,,,,,,,,1,
Negle-6,,,,,,,,,,,,,,1,
Negle-1,,,,,,,,,,,,,,1,1
Negle-8,,,,,,,,,,,,,,1,
Erect-4,,,,,,,,,1,,,1,,,
Negle-2,,,,,,,,,,,,1,,,
Erect-1,,,,,,,,,,,,1,,,1
Erect-2,,,,,,,,,,,,1,,,
Micro-1,,,,,,,,,1,1,,1,1,1,
Negle-7,,,,,,,,,,,,,,1,